Level,XP_Required_Cumulative,XP_Needed_For_Next_Level,Notes
1,0,100,Starting level - all characters begin here
2,100,150,Beginning to develop skills
3,250,200,Basic competence achieved
4,450,250,Intermediate climber
5,700,300,Consistent performance
6,1000,350,Advanced techniques unlocked
7,1350,400,Experienced climber
8,1750,450,Expert level performance
9,2200,500,Elite climber emerging
10,2700,550,Master of fundamentals
11,3250,600,Professional level
12,3850,650,Competition ready
13,4500,700,Elite performer
14,5200,800,World class climber
15,6000,N/A,Maximum level achieved - legendary status
