Area,Name,Description,Grade,Strength_Required,Technique_Required,Focus_Required,Flexibility_Required,Gear_Modifier,XP_Success,XP_Failure,Endurance,Roll_Effect,Time_Units
Bouldering,Beginner's Fortune,A welcoming slab with positive jugs to build confidence,V0,15,20,15,10,Climbing Shoes: -5 Technique,25,8,12,"-1d6 Technique (large holds), -1d6 Focus (clear beta)",2
Bouldering,Easy Street,Straightforward holds and comfortable angles for newcomers,V0,18,18,12,15,Crash Pad: -3 all stats,28,10,14,"-1d6 Strength (jugs), -1d6 Technique (easy movement)",1
Bouldering,Warm-Up Wonder,Perfect for loosening up before harder sends,V1,22,25,18,20,None,32,12,16,"-1d6 Technique (clear sequences), -1d6 Focus (straightforward), +1d6 Strength (still some effort)",2
Bouldering,The Friendly Giant,Large holds on a gentle overhang,V1,25,22,20,18,Chalk Bag: -5 Strength,35,14,18,"-1d6 Strength (bucket holds), -1d6 Technique (easy beta)",2
Bouldering,Jug Haul,Big holds test basic pulling power,V1,28,24,22,16,Climbing Shoes: -5 Technique,38,15,20,"-1d6 Strength (positive grips), -1d6 Focus (simple)",3
Bouldering,Crimson Ladder,Sequential crimps up a vertical wall,V2,30,28,25,22,Finger Tape: -8 Strength,42,16,22,"+1d6 Strength (sharp crimps), +1d6 Technique (precise)",2
Bouldering,Balancing Act,Requires steady footwork and body positioning,V2,28,32,28,25,None,45,18,24,"-1d6 Technique (good footholds), -1d6 Focus (obvious beta)",3
Bouldering,The Pinch Problem,Tests thumb strength on compression holds,V2,35,30,24,20,Chalk Bag: -5 Strength,48,20,26,"+1d6 Strength (pinches), -1d6 Technique (large volumes)",2
Bouldering,Toe Hook Traverse,Lateral movement with crucial heel and toe hooks,V3,32,35,30,28,Climbing Shoes: -8 Technique,52,22,28,"-1d6 Technique (efficient hooks), -1d6 Flexibility (good rests)",3
Bouldering,Power Pocket,Dynamic moves between deep two-finger pockets,V3,40,32,28,24,Finger Tape: -10 Strength,55,24,30,"+1d6 Strength (finger strain), -1d6 Focus (clear target)",3
Bouldering,Slopey Situation,Frustrating slopes demand perfect weight distribution,V3,38,36,32,26,Chalk Bag: -8 Strength,58,26,32,"+1d6 Strength (grip), +1d6 Technique (friction)",4
Bouldering,The Gaston Gateway,Wide stance requiring opposing pressure moves,V3,42,34,30,30,None,60,28,34,"+1d6 Strength (opposition), -1d6 Flexibility (natural position)",3
Bouldering,Crimper's Delight,Tiny edges reward precise finger positioning,V4,45,40,35,28,Finger Tape: -12 Strength,65,30,36,"+1d6 Strength (razor edges), -1d6 Technique (good feet)",4
Bouldering,Roof Raider,Inverted climbing tests core and shoulder strength,V4,48,38,32,30,Harness: -5 Strength,68,32,38,"-1d6 Strength (good holds), -1d6 Flexibility (short problem)",3
Bouldering,Technical Marvel,Complex beta requires careful route reading,V4,40,45,40,32,None,70,34,40,"-1d6 Technique (multiple solutions), -1d6 Focus (clear after reading)",4
Bouldering,The Mantle Challenge,Awkward topout demands precise weight shifts,V4,44,42,38,35,Climbing Shoes: -10 Technique,72,35,42,"+1d6 Technique (tricky), +1d6 Flexibility (awkward position)",3
Bouldering,Compression Test,Squeezes body between volumes and wall,V4,50,40,34,28,Chalk Bag: -10 Strength,75,36,44,"-1d6 Strength (good squeeze holds), -1d6 Focus (straightforward)",4
Bouldering,Dyno Dilemma,Requires explosive jump to distant hold,V5,52,38,36,30,None,78,38,46,"+1d6 Strength (explosive), +1d6 Focus (commitment), -1d6 Flexibility (good body position)",4
Bouldering,Crimp or Crumble,Unforgiving micro crimps on steep terrain,V5,48,46,42,34,Finger Tape: -15 Strength,80,40,48,"+1d6 Strength (micro holds), -1d6 Technique (good sequence)",4
Bouldering,The Slab Enigma,Delicate smearing and balance on nearly featureless rock,V5,35,52,45,38,Climbing Shoes: -12 Technique,82,42,50,"+1d6 Technique (invisible), -1d6 Focus (good rubber works)",5
Bouldering,Volume Voyage,Navigate bulbous volumes with creative movement,V5,46,48,40,36,None,85,44,52,"-1d6 Technique (fun beta), -1d6 Focus (playful)",4
Bouldering,Undercling Alley,Sustained underclings drain forearms quickly,V5,54,44,38,32,Chalk Bag: -12 Strength,88,45,54,"+1d6 Strength (pump), -1d6 Technique (good undercling holds)",5
Bouldering,Heel Hook Heaven,Multiple heel hooks required for efficiency,V6,48,50,44,42,Climbing Shoes: -15 Technique,90,46,56,"-1d6 Technique (efficient), -1d6 Flexibility (hooks)",4
Bouldering,The Pinch Fest,Relentless pinches with no rest positions,V6,56,46,40,36,None,92,48,58,"+1d6 Strength (pinching), +1d6 Focus (no rest)",5
Bouldering,Coordination Crisis,Strange body positions test spatial awareness,V6,50,48,46,44,Harness: -8 Flexibility,95,50,60,"+1d6 Technique (coordination), -1d6 Focus (logical once solved)",4
