Character_Name,Level,Strength,Technique,Focus,Flexibility,Exhaustion_Max,Total_Stats
The Technician,1,12,26,18,14,100,70
The Technician,2,14,31,21,16,105,81
The Technician,3,15,35,23,18,110,91
The Technician,4,17,40,26,20,115,103
The Technician,5,18,44,28,22,120,112
The Technician,6,20,49,31,24,125,124
The Technician,7,21,53,33,26,130,133
The Technician,8,23,58,36,28,135,145
The Technician,9,24,62,38,30,140,154
The Technician,10,26,67,41,32,145,166
The Technician,11,27,71,43,34,150,175
The Technician,12,29,76,46,36,155,187
The Technician,13,30,80,48,38,160,196
The Technician,14,32,85,51,40,165,208
The Technician,15,33,89,53,42,170,217
The Sprinter,1,22,14,12,16,85,64
The Sprinter,2,26,16,14,19,88,74
The Sprinter,3,30,18,15,21,91,84
The Sprinter,4,34,20,17,24,94,95
The Sprinter,5,38,22,18,26,97,104
The Sprinter,6,42,24,20,29,100,115
The Sprinter,7,46,26,21,31,103,124
The Sprinter,8,50,28,23,34,106,135
The Sprinter,9,54,30,24,36,109,144
The Sprinter,10,58,32,26,39,112,155
The Sprinter,11,62,34,27,41,115,164
The Sprinter,12,66,36,29,44,118,175
The Sprinter,13,70,38,30,46,121,184
The Sprinter,14,74,40,32,49,124,195
The Sprinter,15,78,42,33,51,127,204
The Iron Lung,1,16,17,19,14,120,66
The Iron Lung,2,19,20,22,16,128,76
The Iron Lung,3,21,22,25,18,136,86
The Iron Lung,4,24,25,28,20,144,97
The Iron Lung,5,26,27,31,22,152,106
The Iron Lung,6,29,30,34,24,160,117
The Iron Lung,7,31,32,37,26,168,126
The Iron Lung,8,34,35,40,28,176,137
The Iron Lung,9,36,37,43,30,184,146
The Iron Lung,10,39,40,46,32,192,157
The Iron Lung,11,41,42,49,34,200,166
The Iron Lung,12,44,45,52,36,208,177
The Iron Lung,13,46,47,55,38,216,186
The Iron Lung,14,49,50,58,40,224,197
The Iron Lung,15,51,52,61,42,232,206
The Free Solo,1,11,23,20,16,100,70
The Free Solo,2,13,27,23,19,106,81
The Free Solo,3,14,31,26,21,112,92
The Free Solo,4,16,35,29,24,118,104
The Free Solo,5,17,39,32,26,124,114
The Free Solo,6,19,43,35,29,130,126
The Free Solo,7,20,47,38,31,136,136
The Free Solo,8,22,51,41,34,142,148
The Free Solo,9,23,55,44,36,148,158
The Free Solo,10,25,59,47,39,154,170
The Free Solo,11,26,63,50,41,160,180
The Free Solo,12,28,67,53,44,166,192
The Free Solo,13,29,71,56,46,172,202
The Free Solo,14,31,75,59,49,178,214
The Free Solo,15,32,79,62,51,184,224
The Route Reader,1,15,19,22,14,110,70
The Route Reader,2,17,23,26,16,117,81
The Route Reader,3,19,26,30,17,124,92
The Route Reader,4,21,30,34,19,131,104
The Route Reader,5,23,33,38,20,138,114
The Route Reader,6,25,37,42,22,145,126
The Route Reader,7,27,40,46,23,152,136
The Route Reader,8,29,44,50,25,159,148
The Route Reader,9,31,47,54,26,166,158
The Route Reader,10,33,51,58,28,173,170
The Route Reader,11,35,54,62,29,180,180
The Route Reader,12,37,58,66,31,187,192
The Route Reader,13,39,61,70,32,194,202
The Route Reader,14,41,65,74,34,201,214
The Route Reader,15,43,68,78,35,208,224
