Item_Name,Category,XP_Cost,Stat_Effect,Special_Effect,Description,Prerequisite_Level,Prerequisite_Items,Route_Filter,Hold_Feature_Filter,Rest_Bonus,Access_Requirement
Climbing Shoes,Essential Safety Gear,75,technique,-3,Sticky rubber provides superior footwork precision,1,,Slab,"Heel Hook,Toe Hook",0,
Chalk,Performance Gear,50,strength,-2,Maintains friction on challenging holds,1,,"","Crimp,Sloper",0,
Chalk Bag,Performance Gear,60,strength,-2,Convenient chalk access during climbs,1,,All,,0,
Harness,Essential Safety Gear,80,all,-2,Essential safety equipment for roped climbing,1,,"Top Rope,Lead",,0,Top Rope
Belay Device,Essential Safety Gear,70,focus,-2,Controls rope friction for safe belaying,1,Harness,Lead,,0,Top Rope
Locking Carabiner,Essential Safety Gear,60,focus,-1,Secures belay device to harness,1,"Harness,Belay Device",Lead,,0,Lead
Lead Rope,Essential Safety Gear,120,strength,-3,Dynamic rope absorbs fall energy,1,"Harness,Belay Device,Locking Carabiner",Lead,,0,Lead
Quickdraws Set,Performance Gear,140,focus,-4,Enables efficient clipping during lead climbs,1,Lead Rope,Lead,,0,
Finger Tape,Performance Gear,85,strength,-4,Protects fingers and supports tendons on sharp holds,1,,,"Crimp",0,
Liquid Chalk,Performance Gear,95,strength,-3,Long-lasting alcohol-based chalk layer,1,,All,,0,
Knee Pads,Specialized Gear,110,all,-5,Enables knee bar rest positions on overhangs,1,,,"Roof",0,
Athletic Tape,Performance Gear,50,flexibility,-2,Joint support and stability,1,,All,,0,
Crash Pad,Safety Gear,130,all,-3,Cushioned landing provides confidence,1,,Bouldering,,0,
Belay Gloves,Safety Gear,95,focus,-2,Prevents rope burn during belaying,1,,Lead,,0,
Helmet,Safety Gear,65,endurance,5,Head protection reduces injury risk,1,,All,,0,
Comfortable Climbing Apparel,Comfort Gear,90,all+endurance,-1+10,Full range of motion and breathability,1,,All,,0,
Water Bottle,Comfort Gear,40,endurance,5,Proper hydration during sessions,1,,All,,3,
Foam Roller,Recovery Gear,120,endurance,8,Muscle recovery and tension release,1,,All,,5,
Approach Shoes,Comfort Gear,55,time,-1,Comfortable for walking around gym,1,,All,,0,
Yoga Mat,Training Equipment,95,endurance,10,Used for stretching and mobility work,1,,All,,4,
Grip Strength Trainer,Training Equipment,180,strength,2,Builds finger and forearm strength,1,,All,,0,
Portable Hangboard,Training Equipment,240,strength+technique,2+2,Advanced finger strength training,1,,All,,0,
Resistance Bands,Training Equipment,150,flexibility,2,Mobility and warm-up tool,1,,All,,0,
Campus Board Training Program,Training Equipment,200,strength+technique,3-1,Explosive power training with drawbacks,1,,All,,0,
Technique Training System,Training Equipment,180,technique,2,Deliberate practice for movement precision,1,,All,,0,
Meditation App,Training Equipment,160,focus,2,Mental training for composure,1,,All,,0,
Gear Bag,Convenience Gear,70,time,-1,Organized gear storage,1,,All,,0,
Non-Locking Carabiner,Convenience Gear,35,special,0,Quick clipping of accessories,1,,All,,0,
Climbing Brush,Convenience Gear,55,endurance,3,Cleans holds of chalk buildup,1,,All,,0,
Route Notebook,Strategy Gear,100,technique,-2,Record beta and learn from attempts,1,,Repeated,,0,
Power Grips,Performance Gear,130,strength,-3,Enhanced grip for difficult holds,1,,,"Sloper,Pinch",0,
Compression Sleeves,Recovery Gear,75,strength+endurance,-1+8,Reduces muscle fatigue and pump,1,,All,,0,
Dynamic Shoes,Specialized Gear,110,flexibility,-3,Specialized shoes for explosive movements,1,Climbing Shoes,,"Dynamic,Dyno",0,
Mental Training Card Set,Strategy Gear,140,focus,-3,Visualization and mental rehearsal techniques,1,,Repeated,,0,
Recovery Supplements,Recovery Gear,90,endurance,12,Optimized nutrition for sustained performance,1,,All,,0,
