Character_Name,Archetype,Description,Starting_Strength,Starting_Technique,Starting_Focus,Starting_Flexibility,Starting_Exhaustion_Max,Strength_Growth_Per_Level,Technique_Growth_Per_Level,Focus_Growth_Per_Level,Flexibility_Growth_Per_Level,Exhaustion_Growth_Per_Level,Special_Ability,Ability_Description
The Powerhouse,Power Climber,A gym rat who focuses on raw pulling power and campus board training. Dominates overhang routes.,25,12,15,13,95,4.5,1.5,2,1.5,6,Muscle Memory,"Once per round, re-roll any Strength check and take the better result"
The Technician,Precision Specialist,A movement artist who reads sequences perfectly and wastes no energy on inefficient beta.,12,26,18,14,100,1.5,4.5,2.5,2,5,Perfect Beta,Ignore one nerf dice penalty per climb (converts +1d6 to 0)
The Zen Master,Mental Warrior,Maintains perfect composure under pressure. Never lets fear dictate their climbing decisions.,14,16,24,12,105,2,2.5,4.5,1.5,7,Unshakeable,"Once per round, ignore all Focus requirements on a single climb attempt"
The Contortionist,Flexibility Expert,Can reach holds others can't and squeeze into impossible positions with ease.,13,15,14,24,90,1.5,2.5,2,4.5,4,Elastic Advantage,"Once per round, treat any Flexibility requirement as 10 points lower"
The All-Rounder,Balanced Climber,Jack of all trades who adapts to any climbing style with consistent performance.,18,18,18,18,100,3,3,3,3,5,Versatile,"Once per round, redistribute up to 10 stat points between any two stats for a single climb"
The Sprinter,Speed Climber,Climbs explosively with dynamic movements. Burns bright but fast.,22,14,12,16,85,4,2,1.5,2.5,3,Flash Speed,"Reduce time cost of any climb by 2 units (minimum 1), but gain only half XP on success"
The Iron Lung,Endurance Athlete,Built for the long haul with incredible stamina. Can climb all day without tiring.,16,17,19,14,120,2.5,2.5,3,2,8,Endless Stamina,"When resting, recover 50% more endurance  than normal (rounded up)"
The Boulderer,Problem Crusher,Specializes in short, powerful sequences. Thrives on V-grade challenges.,23,16,14,12,90,4.5,2.5,2,1,Boulder Bias,On Bouldering climbs only: roll 3 dice instead of 2 and choose the best 2 results
The Slab Dancer,Balance Master,Moves like water on vertical terrain. Trusts footwork over brute force.,11,23,20,16,100,1.5,4,3,2.5,6,Friction Trust,On Slab routes only: ignore one buff dice (converts -1d6 to 0) to gain +5 permanent to Technique checks
The Route Reader,Problem Solver,Studies routes meticulously before attempting. Knowledge is power.,15,19,22,14,110,2,3.5,4,1.5,7,Preview Vision,"Once per round, before attempting a climb, may look at all requirements and roll effects, then decide whether to attempt"
