Character_Name,Level,Strength,Technique,Focus,Flexibility,Exhaustion_Max,Total_Stats
The Powerhouse,1,25,12,15,13,95,65
The Powerhouse,2,30,14,17,15,101,75
The Powerhouse,3,34,15,19,16,107,84
The Powerhouse,4,39,17,21,18,113,95
The Powerhouse,5,43,18,23,19,119,103
The Powerhouse,6,48,20,25,21,125,114
The Powerhouse,7,52,21,27,22,131,122
The Powerhouse,8,57,23,29,24,137,133
The Powerhouse,9,61,24,31,25,143,141
The Powerhouse,10,66,26,33,27,149,152
The Powerhouse,11,70,27,35,28,155,160
The Powerhouse,12,75,29,37,30,161,171
The Powerhouse,13,79,30,39,31,167,179
The Powerhouse,14,84,32,41,33,173,190
The Powerhouse,15,88,33,43,34,179,198
The Technician,1,12,26,18,14,100,70
The Technician,2,14,31,21,16,105,81
The Technician,3,15,35,23,18,110,91
The Technician,4,17,40,26,20,115,103
The Technician,5,18,44,28,22,120,112
The Technician,6,20,49,31,24,125,124
The Technician,7,21,53,33,26,130,133
The Technician,8,23,58,36,28,135,145
The Technician,9,24,62,38,30,140,154
The Technician,10,26,67,41,32,145,166
The Technician,11,27,71,43,34,150,175
The Technician,12,29,76,46,36,155,187
The Technician,13,30,80,48,38,160,196
The Technician,14,32,85,51,40,165,208
The Technician,15,33,89,53,42,170,217
The Zen Master,1,14,16,24,12,105,66
The Zen Master,2,16,19,29,14,112,77
The Zen Master,3,18,21,33,15,119,87
The Zen Master,4,20,24,38,17,126,98
The Zen Master,5,22,26,42,18,133,108
The Zen Master,6,24,29,47,20,140,120
The Zen Master,7,26,31,51,21,147,129
The Zen Master,8,28,34,56,23,154,141
The Zen Master,9,30,36,60,24,161,150
The Zen Master,10,32,39,65,26,168,162
The Zen Master,11,34,41,69,27,175,171
The Zen Master,12,36,44,74,29,182,183
The Zen Master,13,38,46,78,30,189,192
The Zen Master,14,40,49,83,32,196,204
The Zen Master,15,42,51,87,33,203,213
The Contortionist,1,13,15,14,24,90,66
The Contortionist,2,15,18,16,29,94,77
The Contortionist,3,16,20,18,33,98,87
The Contortionist,4,18,23,20,38,102,98
The Contortionist,5,19,25,22,42,106,108
The Contortionist,6,21,28,24,47,110,120
The Contortionist,7,22,30,26,51,114,129
The Contortionist,8,24,33,28,56,118,141
The Contortionist,9,25,35,30,60,122,150
The Contortionist,10,27,38,32,65,126,162
The Contortionist,11,28,40,34,69,130,171
The Contortionist,12,30,43,36,74,134,183
The Contortionist,13,31,45,38,78,138,192
The Contortionist,14,33,48,40,83,142,204
The Contortionist,15,34,50,42,87,146,213
The All-Rounder,1,18,18,18,18,100,72
The All-Rounder,2,21,21,21,21,105,81
The All-Rounder,3,24,24,24,24,110,96
The All-Rounder,4,27,27,27,27,115,108
The All-Rounder,5,30,30,30,30,120,120
The All-Rounder,6,33,33,33,33,125,132
The All-Rounder,7,36,36,36,36,130,144
The All-Rounder,8,39,39,39,39,135,156
The All-Rounder,9,42,42,42,42,140,168
The All-Rounder,10,45,45,45,45,145,180
The All-Rounder,11,48,48,48,48,150,192
The All-Rounder,12,51,51,51,51,155,204
The All-Rounder,13,54,54,54,54,160,216
The All-Rounder,14,57,57,57,57,165,228
The All-Rounder,15,60,60,60,60,170,240
The Sprinter,1,22,14,12,16,85,64
The Sprinter,2,26,16,14,19,88,74
The Sprinter,3,30,18,15,21,91,84
The Sprinter,4,34,20,17,24,94,95
The Sprinter,5,38,22,18,26,97,104
The Sprinter,6,42,24,20,29,100,115
The Sprinter,7,46,26,21,31,103,124
The Sprinter,8,50,28,23,34,106,135
The Sprinter,9,54,30,24,36,109,144
The Sprinter,10,58,32,26,39,112,155
The Sprinter,11,62,34,27,41,115,164
The Sprinter,12,66,36,29,44,118,175
The Sprinter,13,70,38,30,46,121,184
The Sprinter,14,74,40,32,49,124,195
The Sprinter,15,78,42,33,51,127,204
The Iron Lung,1,16,17,19,14,120,66
The Iron Lung,2,19,20,22,16,128,76
The Iron Lung,3,21,22,25,18,136,86
The Iron Lung,4,24,25,28,20,144,97
The Iron Lung,5,26,27,31,22,152,106
The Iron Lung,6,29,30,34,24,160,117
The Iron Lung,7,31,32,37,26,168,126
The Iron Lung,8,34,35,40,28,176,137
The Iron Lung,9,36,37,43,30,184,146
The Iron Lung,10,39,40,46,32,192,157
The Iron Lung,11,41,42,49,34,200,166
The Iron Lung,12,44,45,52,36,208,177
The Iron Lung,13,46,47,55,38,216,186
The Iron Lung,14,49,50,58,40,224,197
The Iron Lung,15,51,52,61,42,232,206
The Boulderer,1,23,16,14,12,90,65
The Boulderer,2,28,19,16,13,95,75
The Boulderer,3,32,21,18,14,100,85
The Boulderer,4,37,24,20,15,105,96
The Boulderer,5,41,26,22,16,110,105
The Boulderer,6,46,29,24,17,115,116
The Boulderer,7,50,31,26,18,120,125
The Boulderer,8,55,34,28,19,125,136
The Boulderer,9,59,36,30,20,130,145
The Boulderer,10,64,39,32,21,135,156
The Boulderer,11,68,41,34,22,140,165
The Boulderer,12,73,44,36,23,145,176
The Boulderer,13,77,46,38,24,150,185
The Boulderer,14,82,49,40,25,155,196
The Boulderer,15,86,51,42,26,160,205
The Slab Dancer,1,11,23,20,16,100,70
The Slab Dancer,2,13,27,23,19,106,81
The Slab Dancer,3,14,31,26,21,112,92
The Slab Dancer,4,16,35,29,24,118,104
The Slab Dancer,5,17,39,32,26,124,114
The Slab Dancer,6,19,43,35,29,130,126
The Slab Dancer,7,20,47,38,31,136,136
The Slab Dancer,8,22,51,41,34,142,148
The Slab Dancer,9,23,55,44,36,148,158
The Slab Dancer,10,25,59,47,39,154,170
The Slab Dancer,11,26,63,50,41,160,180
The Slab Dancer,12,28,67,53,44,166,192
The Slab Dancer,13,29,71,56,46,172,202
The Slab Dancer,14,31,75,59,49,178,214
The Slab Dancer,15,32,79,62,51,184,224
The Route Reader,1,15,19,22,14,110,70
The Route Reader,2,17,23,26,16,117,81
The Route Reader,3,19,26,30,17,124,92
The Route Reader,4,21,30,34,19,131,104
The Route Reader,5,23,33,38,20,138,114
The Route Reader,6,25,37,42,22,145,126
The Route Reader,7,27,40,46,23,152,136
The Route Reader,8,29,44,50,25,159,148
The Route Reader,9,31,47,54,26,166,158
The Route Reader,10,33,51,58,28,173,170
The Route Reader,11,35,54,62,29,180,180
The Route Reader,12,37,58,66,31,187,192
The Route Reader,13,39,61,70,32,194,202
The Route Reader,14,41,65,74,34,201,214
The Route Reader,15,43,68,78,35,208,224
